passer,season,team,plays,qb_epa,headshot_href
C.Keenum,2018,DEN,632,-0.029899847,https://a.espncdn.com/i/headshots/nfl/players/full/15168.png
C.Keenum,2019,WAS,265,-0.03017844,https://a.espncdn.com/i/headshots/nfl/players/full/15168.png
C.Kessler,2016,CLE,220,0.090160857,
C.Newton,2013,CAR,550,0.11748125,https://a.espncdn.com/i/headshots/nfl/players/full/13994.png
C.Newton,2014,CAR,548,0.010429888,https://a.espncdn.com/i/headshots/nfl/players/full/13994.png
C.Newton,2015,CAR,597,0.117800554,https://a.espncdn.com/i/headshots/nfl/players/full/13994.png
C.Newton,2016,CAR,655,-0.013781566,https://a.espncdn.com/i/headshots/nfl/players/full/13994.png
C.Newton,2017,CAR,594,0.007011172,https://a.espncdn.com/i/headshots/nfl/players/full/13994.png
C.Newton,2018,CAR,573,0.081188284,https://a.espncdn.com/i/headshots/nfl/players/full/13994.png
C.Newton,2020,NE,385,-0.05598139,https://a.espncdn.com/i/headshots/nfl/players/full/13994.png
C.Palmer,2013,ARI,619,0.000146624,https://a.espncdn.com/i/headshots/nfl/players/full/4459.png
C.Palmer,2015,ARI,538,0.276202781,https://a.espncdn.com/i/headshots/nfl/players/full/4459.png
C.Palmer,2016,ARI,715,0.003938864,https://a.espncdn.com/i/headshots/nfl/players/full/4459.png
C.Palmer,2017,ARI,330,-0.031677758,https://a.espncdn.com/i/headshots/nfl/players/full/4459.png
C.Ponder,2013,MIN,290,-0.042235224,
C.Wentz,2016,PHI,614,0.034514587,https://a.espncdn.com/i/headshots/nfl/players/full/2573079.png
C.Wentz,2017,PHI,547,0.197469577,https://a.espncdn.com/i/headshots/nfl/players/full/2573079.png
C.Wentz,2018,PHI,447,0.088227237,https://a.espncdn.com/i/headshots/nfl/players/full/2573079.png
C.Wentz,2019,PHI,673,0.037497398,https://a.espncdn.com/i/headshots/nfl/players/full/2573079.png
